STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
AmmoDispenser,Ammo Dispenser,,Dispensador de munición,弹药箱,Munitionsverteiler,Reservatório de Munição,Distributeur de munitions,Раздатчик боеприпасов,탄약 보급기
AirConditioner,Air Filtration System,,Sistema de filtración de aire,空气过滤系统,Luftfilterungssystem,Sistema de Filtragem de Ar,Système de filtration d'air,Система очистки воздуха,공기 정화 시스템
Altar,Altar,,Altar,祭坛,Altar,Altar,Autel,Алтарь,제단
Anvil,Anvil,,Yunque,铁砧,Amboss,Bigorna,Enclume,Наковальня,모루
ArcadeGame,Arcade Game,,Juego de arcade,街机游戏,Arcade-Spiel,Jogo de Arcade,Borne d'arcade,Аркадная игра,아케이드 게임
Ash,Ash,,Ceniza,灰烬,Asche,Cinzas,Cendres,Пепел,화산재
Barbecue,Barbecue,,Barbacoa,烧烤,Grill,Churrasco,Barbecue,Барбекю,바베큐
BarbedWire,Barbed Wire,,Alambre de púas,铁丝网,Stacheldraht,Arame Farpado,Fil barbelé,Колючая проволока,철조망
Bars,Bars,,Barras,酒吧,Gitterstäbe,Barras,Barres,Решетка,막대
BarStool,Bar Stool,,Taburete de bar,高脚凳,Barhocker,Banco de Barra,Tabouret de bar,Барный стул,바 의자
Bathtub,Bathtub,,Bañera,浴缸,Badewanne,Banheira,Baignoire,Ванна,욕조
Bed,Bed,,Cama,床,Bett,Cama,Lit,Кровать,침대
Beehive,Beehive,,Colmena,蜂巢,Bienenstock,Colmeia,Ruche,Улей,벌집
Billboard,Billboard,,Cartel publicitario,广告牌,Plakatwand,Outdoor,Panneau d’affichage,Рекламный щит,빌보드
Boulder,Boulder,,Peñasco,巨石,Felsbrocken,Rochedo,Rocher,Валун,볼더
BulletinBoard,Bulletin Board,,Cartelera de anuncios,公告板,Schwarzes Brett,Quadro de Avisos,Tableau d’affichage,Доска объявлений,게시판
Bush,Bush,,Arbusto,灌木,Busch,Arbusto,Buisson,Куст,수풀
Cactus,Cactus,,Cactus,仙人掌,Kaktus,Cacto,Cactus,Кактус,선인장
Campfire,Campfire,,Fogata,篝火,Lagerfeuer,Fogueira,Feu de camp,Костер,캠프파이어
CapsuleMachine,Goodie Dispenser,,Dispensador de recompensas,奖励售货机,Warenverteiler,Distribuidor de Brindes,Distributeur d'objets,Раздатчик всякой всячины,사은품 자판기
Chair,Armchair,,Sillón,扶手椅,Sessel,Poltrona,Fauteuil,Кресло,안락 의자
Chair2,Chair,,Silla,椅子,Stuhl,Cadeira,Chaise,Кресло,의자
ChessSet,Chess Set,,Juego de ajedrez,国际象棋,Schachspiel,Jogo de Xadrez,Jeu d'échecs,Шахматы,체스 세트
