STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
AboveTheLaw,Above the Law,,Por encima de la ley,践踏法律,Über dem Gesetz,Acima da Lei,Au-dessus de la Loi,Вне закона,법 위에
Accurate,Accurate,,Preciso,精准度,Präzise,Preciso,Précis,Точность,정확함
Acid,Sulfuric Acid,,Ácido sulfúrico,硫酸,Schwefelsäure,Ácido sulfúrico,Acide sulfurique,Серная кислота,황산
AlwaysCrit,Always Crit,,Siempre crítico,百分百暴击,Immer kritische Treffer,Sempre Crítico,100% critique,Постоянный крит,항상 치명타
Attractive,Attractive,,Atractivo,魅力无限,Attraktiv,Atraente,Attirant,Привлекательность,매력적
BadHearing,Bad Hearing,,Mala audición,装聋作哑,Schlechtes Gehör,Má Audição,Mauvaise ouïe,Слабый слух,나쁜 청력
BadVision,Bad Vision,,Mala visión,一叶障目,Schlechte Sicht,Má Visão,Mauvaise vue,Плохое зрение,나쁜 시력
Backstabber,Backstabber,,Traidor,背刺,Verräter,Traidor,Adepte du poignard dans le dos,Нападение со спины,배신자
BananaLover,Banana Lover,,Amante de la banana,我爱食蕉,Bananenfan,Amante de Banana,Amateur de bananes,Любовь к бананам,바나나 러버
BananaLover2,Banana Lover +,,Amante de la banana +,我爱食蕉 +,Bananenfan +,Amante de Banana +,Amateur de bananes +,Любовь к бананам +,바나나 러버 +
BigBullets,Big Bullets,,De grandes balas,大只子弹,Große Kugeln,Grandes Balas,Grosses bastos,Большие пули,큰 총알
BigMelee,Big Melee,,De gran ataque físico,近战增益,Großes Handgemenge,Grande Ataque Físico,Grosse mêlée,Мощный ближний бой,큰 근접 무기
BloodyMess,Bloody Mess,,Un desastre total,猴子偷桃,Blutiges Durcheinander,Confusão,Du sang. Partout,Кровавое месиво,피가 묻은 난장판
BulletForceField,Bullet Force Field,,Campo de fuerza antibalas,子弹力场,Kugelkraftfeld,Campo de Força de Bala,Champ de force pare-balle,Силовое поле от пуль,불릿 포스 필드
CanSpeakAllLanguages,Can Speak All Languages,,Hablo todos los idiomas,语言专家,Kann alle Sprachen sprechen,Pode Falar Todos os Idiomas,Peut parler toutes les langues,Вавилонская рыбка,모든 언어를 말할 수 있음
CantSpeakEnglish,Vocally Challenged,,Con dificultad para hablar,笨嘴拙舌,Sprachgestört,Dificuldade de Fala,Vocalement limité,Проблемы с произношением,구두로 도전받음
CantUseGuns,Stubby Fingers,,Dedos gruesos,粗短手指,Stummelfinger,Dedos Grossos,Gros doigts,Короткие пальцы,뭉툭한 손가락들
CantUseWeapons,Pacifist,,Pacifista,和平主义者,Pazifist,Pacifista,Pacifiste,Пацифизм,평화주의자
CantUseWeapons2,Sausage Fingers,,Dedos de salchicha,香肠手指,Wurstfinger,Dedos de Salsicha,Doigts boudinés,Пальцы-сосиски,끝이 뭉툭한 손가락들
DontTriggerFloorHazards,Graceful,,Grácil,凌波微步,Graziös,Elegante,Gracieux,Изящество,우아함
Drunk,Drunk,,Borracho,酒气熏天,Betrunken,Bêbado,Bourré,Пьянь,술에 취함
ElectroTouch,Electro Touch,,Electrotoque,触电般的感觉,Elektroberührung,Eletrotoque,Toucher électrique,Электрическое прикосновение,전기 접촉
Enraged,Enraged,,Enfurecido,暴怒,Wütend,Enfurecido,Enragé,Ярость,격분함
