STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
Money,Money,,Dinero,金钱,Geld,Dinheiro,Argent,Деньги,돈
BaconCheeseburger,Bacon Cheeseburger,,Hamburguesa con queso y tocino,培根芝士汉堡,Cheeseburger mit Speck,Cheeseburguer de Bacon,Cheeseburger,Чизбургер с беконом,베이컨 치즈버거
Banana,Banana,,Banana,香蕉,Banane,Banana,Banane,Банан,바나나
Beer,Beer,,Cerveza,啤酒,Bier,Cerveja,Bière,Пиво,맥주
FirstAidKit,First Aid Kit,,Botiquín de primeros auxilios,急救药箱,Erstehilfekasten,Kit de Primeiros Socorros,Trousse de premiers soins,Аптечка,구급함
HamSandwich,Ham Sandwich,,Sándwich de jamón,火腿三明治,Schinkensandwich,Sanduíche de Presunto,Sandwich au jambon,Сэндвич с ветчиной,햄 샌드위치
Whiskey,Whiskey,,Whisky,威士忌,Whisky,Uísque,Whiskey,Виски,위스키
Cigarettes,Cigarettes,,Cigarrillos,香烟,Zigaretten,Cigarros,Cigarettes,Сигареты,담배
Cocaine,Sugar,,Polvo blanco,白粉,Zucker,Pó,Sucre,Сахар,설탕
Flask,Flask,,Petaca,烧瓶,Flachmann,Balão,Flasque,Фляга,플라스크
Steroids,Muscly Pill,,Esteroides,大力丸,Muskelpille,Bomba,Pilule gonflette,Таблетка силы,근육 강화제
Syringe,Syringe,,Jeringa,注射器,Spritze,Seringa,Seringue,Шприц,주사기
BalletShoes,Ballet Shoes,,Zapatos de ballet,芭蕾舞鞋,Ballettschuhe,Sapatilhas,Chaussons de danse,Пуанты,발레 슈즈
BraceletStrength,Bracelet of Strength,,Pulsera de fuerza,力量手镯,Stärkearmband,Pulseira da Força,Bracelet de force,Браслет силы,힘의 팔찌
BulletproofVest,Bulletproof Vest,,Chaleco antibalas,防弹背心,Kugelsichere Weste,Colete à Prova de Balas,Gilet pare-balles,Бронежилет,방탄조끼
CodPiece,Codpiece,,Coquilla,护阴甲,Schamkapsel,Braguilha,Coque,Гульфик,코드피스
