STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,,string,string,string,string,string,string,string
SpecialCharacterSizeFitting,,,,,,,,,,
PolishCharacters,,,,,,,,,,
Stats,STATS,,,ESTADÍSTICAS,属性,SPIELERSTATISTIK,ESTATÍSTICAS,STATISTIQUES,ХАРАКТЕРИСТИКИ,통계
Traits,TRAITS,,,RASGOS,技能,MERKMALE,CARACTERÍSTICAS,TRAITS,ОСОБЕННОСТИ,특성
StartingItems,STARTING ITEMS,,,ARTÍCULOS PARA COMENZAR,起始道具,STARTGEGENSTÄNDE,ITENS INICIAIS,OBJETS DE DÉPART,СТАРТОВЫЕ ПРЕДМЕТЫ,시작 아이템
StatusEffects,STATUS EFFECTS,,,EFECTOS DE ESTADO,状态效果,STATUSEFFEKTE,EFEITOS DE ESTADO,ÉTATS PARTICULIERS,СТАТУСНЫЕ ЭФФЕКТЫ,상태 효과
SpecialAbility,SPECIAL ABILITY,,,HABILIDAD ESPECIAL,特殊能力,BESONDERE FÄHIGKEIT,HABILIDADE ESPECIAL,CAPACITÉ SPÉCIALE,СПОСОБНОСТИ,특별한 능력
StartingTraits,STARTING TRAITS,,,RASGOS INICIALES,初始技能,ANFANGSMERKMALE,CARACTERÍSTICAS INICIAIS,TRAITS DE DÉPART,СТАРТОВЫЕ ОСОБЕННОСТИ,시작 특성
ExtraTraits,EXTRA TRAITS,,,RASGOS ADICIONALES,额外技能,ZUSÄTZLICHE MERKMALE,CARACTERÍSTICAS EXTRA,TRAITS SUPPLÉMENTAIRES,ДОПОЛНИТЕЛЬНЫЕ ОСОБЕННОСТИ,기타 특성
BigQuestCaps,BIG QUEST,,,GRAN MISIÓN,大任务,GROSSE AUFGABE,GRANDE MISSÃO,GROSSE QUÊTE,ОСНОВНАЯ МИССИЯ,빅 퀘스트
Strength,Melee,,,Cuerpo a cuerpo,近战,Nahkampf,Ataque Físico,Corps-à-corps,Ближний бой,난투
Endurance,Endurance,,,Resistencia,耐力,Ausdauer,Resistência,Endurance,Выносливость,지구력
Accuracy,Firearms,,,Armas de fuego,火器,Waffen,Armas de Fogo,Armes à feu,Огнестрел,총기류
Speed,Speed,,,Velocidad,速度,Geschwindigkeit,Velocidade,Vitesse,Скорость,속도
Bonus,Bonus,,,Bonus,加成,Bonus,Bônus,Bonus,Бонус,보너스
Bonuses,Bonuses,,,Bonus,加成,Boni,Bônus,Bonus,Бонусы,보너스
Contents,Contents,,,Contenido,内容,Inhalte,Conteúdo,Contenus,Содержимое,콘텐츠
Accept,Accept,,,Aceptar,接受,Akzeptieren,Aceitar,Accepter,Принять,수락
UnAccept,UnAccept,,,No aceptar,不接受,Nicht akzeptieren,Rejeita,Ne plus accepter,Снять выбор,거부
