STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,,string,string,string,string,string,string,string
UnlockedNewCharacter,Unlock playable character,,,Desbloquear personaje para jugar,解锁可玩角色,Spielbare Spielfigur freischalten,Desbloquear personagem controlável,Débloquer un personnage jouable,Открыть персонажа,플레이 가능한 캐릭터 잠금 해제
UnlockedNewLoadoutItem,Unlock loadout Item,,,Desbloquear artículo de equipo inicial,解锁初始道具,Ausrüstungsgegenstand freischalten,Desbloquear Item do equipamento inicial,Débloquer un chargement,Открыть предмет снаряжения,로드아웃 아이템 잠금 해제
UnlockedNewReward,Unlock reward,,,Desbloquear recompensa,解锁奖励,Belohnung freischalten,Desbloquear recompensa,Débloquer une récompense,Открыть награду,보상 잠금 해제
UnlockedNewMutator,Unlock mutator,,,Desbloquear un modificador,解锁突变,Mutator freischalten,Desbloquear modificadores,Débloquer un mutateur,Открыть мутатор,돌연변이 잠금 해제
UnlockedNewFloor,Unlock elevator access,,,Desbloquear el acceso de ascensor,解锁电梯使用权,Zugang zum Aufzug freischalten,Desbloquear acesso ao elevador,Débloquer un accès d'ascenseur,Открыть доступ к лифту,엘리베이터 접근 잠금 해제
NoGuns,No Guns,,,Sin armas,无枪械,Keine Schusswaffen,Sem Pistolas,Pas d'armes à feu,Без оружия,총 없음
NoMelee,No Melee Weapons,,,Sin armas de ataque cuerpo a cuerpo,无近战武器,Keine Nahkampfwaffen,Sem Armas de Ataque Físico,Pas d'armes de corps-à-corps,Без оружия ближнего боя,근접 무기 없음
LowHealth,Low Health For All,,,Baja salud para todos,降低所有人的生命值,Niedrige Gesundheit für alle,Energia Baixa Para todos,Santé faible pour tous,У всех низкое здоровье,모드에 대해 낮은 헬스
EveryoneHatesYou,Everyone Hates You,,,Todo el mundo te odia,每个人都讨厌你,Alle hassen dich,Todos Te Odeiam,Tout le monde vous hait,Все тебя ненавидят,모두가 당신을 싫어해요.
TimeLimit,Time Limit,,,Límite de tiempo,限时,Zeitlimit,Tempo Limite,Limite de temps,Ограничение по времени,시간 제한
TimeLimit2,Time Limit EXTREME,,,Límite de tiempo muy bajo,极限限时,Drastisches Zeitlimit,Tempo Limite Extremo,Limite de temps extrême,Времени совсем мало,극단적인 시간 제한
TimeLimitQuestsGiveMoreTime,Time Limit + Time Bonuses,,,Límite de tiempo + bonus de tiempo,时间限制 + 时间奖励,Zeitlimit + Zeitboni,Tempo Limite + Tempo Bônus,Limite de temps + bonus de temps,Ограничение по времени и бонусы за скорость,시간 제한 + 시간 보너스
SpeedUp,Faster Gameplay,,,Juego más rápido,加快游戏,Schnellerer Spielverlauf,Jogabilidade Mais Rápida,Jeu accéléré,Ускоренная игра,더 빠른 게임 플레이
NoLevelFeelings,No Disasters,,,No hay desastres,没有灾难,Keine Katastrophen,Sem Desastres,Pas de catastrophe,Без серьезных неприятностей,재 없음
OnlyMoneyRewards,Only Rewarded Money,,,Sólo dinero de recompensas,只奖励金钱,Nur Geldbelohnungen,Só Recebeu Dinheiro,Récompenses uniquement pécuniaires,Только денежные награды,보상으로 받은 돈만
NewCharacterEveryLevel,New Character Every Level,,,Nuevo personaje en todos los niveles,每关开始时都能选择新角色,Bei jedem Level eine neue Spielfigur,Novo Caracter a Cada Nível,Nouveau personnage à chaque niveau,Новый персонаж на каждом уровне,새로운 캐릭터 모든 레벨
Sandbox,Sandbox,,,Salvadera,沙盒,Sandkasten,Caixa de areia,Bac à sable,Песочница,샌드박스
Endless,Endless,,,Sin fin,无尽模式,Endlos,Sem Fim,Sans fin,Бесконечная игра,끝없음
CreateAMutator,Create-A-Mutator,,,Creador de modificadores,创建突变,Mutator erschaffen,Criar Um Modificador,Créer-un-mutator,Создай мутатор!,돌연변이 만들기
D_NoGuns,No guns allowed! All guns are replaced with equivalent melee weapons.,,,¡No se permiten armas de fuego!,禁止枪械！,Keine Waffen erlaubt!,Nenhuma arma permitida!,Pas d'arme à feu !,Оружие запрещено!,총은 허용되지 않아요!
D_NoMelee,No melee weapons allowed -- guns for everybody!  All melee weapons are replaced with equivalent guns.,,,No se permiten otras: ¡sólo armas de fuego para todos!,不允许使用近战武器，大家都用枪！,Keine Nahkampfwaffen erlaubt -- Schusswaffen für alle!,Sem armas de ataque físico permitidas -- pistolas para todos!,Pas d'arme de corps-à-corps : des flingues pour tous !,"Никакого оружия ближнего боя, только пушки!",근접 무기 허용 안 됨 -- 모두를 위한 총!
D_LowHealth,Everyone starts with much lower health -- yourself included.,,,Todos comienzan con muchas menos salud y tú también.,所有人在游戏开始时的生命值都大幅降低，你也不例外。,Alle beginnen mit viel weniger Gesundheit -- auch du.,Todos começam com a energia bem baixa -- até você.,"Tout le monde commence avec beaucoup moins de santé, vous compris.",Все начинают с низким здоровьем — включая тебя!,모두가 훨씬 더 낮은 헬스로 시작합니다. -- 자신 포함.
