STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
Playerr,Player,ผู้เล่น,Jugador,玩家,Spieler,Jogador,Joueur,Игрок,플레이어
Actor,Actor,นักแสดง,Actor,演员,Schauspieler,Ator,Acteur,Актер,배우
Alien,Alien,เอเลี่ยน,Alienígena,外星人,Alien,Extraterrestre,Extraterrestre,Пришелец,외계인
Artist,Artist,ศิลปิน,Artista,艺术家,Künstler,Artista,Artiste,Артист,아티스트
Assassin,Assassin,นักฆ่า,Asesino,刺客,Attentäter,Assassino,Assassin,Ассассин,암살자
Athlete,Jock,นักกีฬา,Deportista,运动员,Sportler,Atleta,Sportif,Качок,운동선수
Bartender,Bartender,บาร์เทนเดอร์,Cantinero,酒保,Barkeeper,Barman,Barman,Бармен,바텐더
Bouncer,Bouncer,,Seguridad,保安,Türsteher,Segurança,Videur,Вышибала,바운서
Businessman,Investment Banker,,Banquero de inversión,银行家,Investmentbanker,Banqueiro de Investimento,Banquier d'affaires,Банкир,투자자
Cannibal,Cannibal,มนุษย์กินคน,Caníbal,食人者,Kannibale,Canibal,Cannibale,Каннибал,식인종
Caveman,Caveman,มนุษย์ถ้ำ,Cavernícola,穴居人,Höhlenmensch,Homem das Cavernas,Homme des cavernes,Пещерный человек,원시인
Celebrity,Celebrity,เซเลบ,Celebridad,明星,Prominenter,Celebridade,Célébrité,Знаменитость,유명인
Comedian,Comedian,นักเล่าเรื่องตลก,Comediante,喜剧演员,Komiker,Comediante,Comédien,Комик,코미디언
Cop,Cop,ตำรวจ,Policía,警察,Polizist,Policial,Policier,Коп,경찰
Cop2,Supercop,,Superpolicía,超级警察,Superpolizist,Super Policial,Super-flic,Суперкоп,슈퍼캅
Cowboy,Cowboy,คาวบอย,Vaquero,牛仔,Cowboy,Vaqueiro,Cow-boy,Ковбой,카우보이
Cultist,Cultist,สาวกลัทธิ,Fanático,邪教徒,Kultanhänger,Fanático,Cultiste,Культист,이교도
Doctor,Doctor,หมอ,Médico,医生,Arzt,Médica,Docteur,Доктор,의사
DrugDealer,Drug Dealer,คนขายยา,Traficante de drogas,毒贩,Drogendealer,Traficante de Drogas,Trafiquant de drogue,Наркоторговец,마약상
Farmer,Farmer,เกษตรกร,Granjero,农夫,Bauer,Agricultor,Fermier,Фермер,농부
Firefighter,Firefighter,นักดับเพลิง,Bombero,消防员,Feuerwehrmann,Bombeiro,Pompier,Пожарный,소방관
Gangbanger,Gangster (Crepe),ชาวแก๊ง (Crepe),Gangster (Crepe),流氓（瘸帮）,Gangster (Crepe),Gangster (Crepe),Gangster (Crêpe),Бандит (Невалидные),갱스터(크레이프)
GangbangerB,Gangster (Blahd),ชาวแก๊ง (Blahd),Gangster (Blahd),流氓（血帮）,Gangster (Blahd),Gangster (Blahd),Gangster (Blair),Бандит (Кровяные),갱스터(블라드)
Genie,Genie,จีนี่,Genio,灯神,Flaschengeist,Gênio,Génie,Джин,지니
Ghost,Ghost,ผี,Fantasma,幽灵,Geist,Fantasma,Fantôme,Призрак,유령
Gorilla,Gorilla,กอริลล่า,Gorila,大猩猩,Gorilla,Gorila,Gorille,Горилла,고릴라
Guard,Goon,ยาม,Matón,打手,Wache,Capanga,Garde,Головорез,바보
Hacker,Hacker,แฮ็คเกอร์,Hacker,黑客,Hacker,Hacker,Hacker,Хакер,해커
Hobo,Slum Dweller,,Mendigo,贫民区居民,Slumbewohner,Mendigo,Clochard,Бомж,빈민가 거주자
Hologram,Hologram Bigfoot,,Holograma de Pie Grande,全息大脚怪,Bigfoot-Hologramm,Pé Grande Holograma,Bigfoot holographique,Голограмма йети,홀로그램 빅풋
Janitor,Janitor,ภารโรง,Conserje,清洁工,Hausmeister,Zelador,Concierge,Уборщик,청소부
Judge,Judge,ผู้พิพากษา,Juez,法官,Richter,Juiz,Juge,Судья,판사
Lawyer,Lawyer,ทนายความ,Abogado,律师,Anwalt,Advogado,Avocat,Юрист,변호사
Magician,Magician,นักมายากล,Mago,魔术师,Zauberer,Mago,Magicien,Фокусник,마술사
Mobster,Mobster,,Mafioso,匪徒,Mafioso,Mafioso,Truand,Гангстер,조폭
Mortician,Mortician,,Agente funerario,殡葬员,Bestatter,Agente Funerário,Croque-mort,Гробовщик,폭도
Musician,Musician,นักดนตรี,Músico,音乐家,Musiker,Músico,Musicien,Музыкант,음악가
Necromancer,Necromancer,หมอผี,Nigromante,死灵法师,Geisterbeschwörer,Necromante,Nécromancien,Некромансер,점쟁이
OfficeDrone,Office Drone,,Zángano de la oficina,办公室职员,Büromensch,Formiguinha de Escritório,Gratte-papier,Офисный планктон,오피스 드론
Pirate,Pirate,โจรสลัด,Pirata,海盗,Pirat,Pirata,Pirate,Пират,해적
Politician,Politician,,Político,政治家,Politiker,Político,Politicien,Политик,정치가
Priest,Priest,นักบวช,Sacerdote,牧师,Priester,Padre,Prêtre,Священник,성직자
Reporter,Reporter,ผู้ประกาศข่าว,Reportero,记者,Reporter,Repórter,Journaliste,Журналист,리포터
ResistanceLeader,Resistance Leader,ผู้นำฝ่ายต่อต้าน,Líder de la resistencia,抵抗组织领袖,Anführer des Widerstands,Líder da Resistência,Chef de la résistance,Лидер сопротивления,저항군 리더
Robot,Killer Robot,หุ่นยนต์นักฆ่า,Robot Asesino,机器人杀手,Mörderroboter,Matador de Robôs,Robot Tueur,Робот-убийца,"킬러 로봇 "
Scientist,Scientist,นักวิทยาศาสตร์,Científico,科学家,Wissenschaftler,Cientista,Scientifique,Ученый,과학자
ShapeShifter,Shapeshifter,นักแปลงกาย,Cambiaformas,变形人,Gestaltwandler,Transmorfo,Change-forme,Оборотень,변신하는 자
Shopkeeper,Shopkeeper,เจ้าของร้านค้า,Comerciante,店主,Ladeninhaber,Comerciante,Commerçant,Лавочник,가게 주인
