STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
Money,The root of all evil.,,La raíz de todo mal.,万恶之源。,Die Wurzel allen Übels.,A raiz de todo o mal.,La racine de tous les maux.,Корень всех зол.,모든 악의 근원입니다.
BaconCheeseburger,"Fills your arteries with gunk, fills your soul with happiness.",,"Llena tus arterias de mugre, llena tu alma de felicidad.",用垃圾食品塞满你的胃，让快乐占领你的灵魂。,"Füllt deine Arterien mit Dreck, erfüllt deine Seele mit Freude.","Encha suas artérias com o que não presta, mas encha seu espírito de felicidade.",Remplit vos artères de crasse et votre âme de bonheur.,Счастье ценой бляшек в сосудах.,"동맥을 끈적끈적한 것으로 채우고, 영혼을 행복으로 채우세요."
Banana,An excellent source of potassium and naughty humor.,,Una excelente fuente de potasio y chistes verdes.,钾和与成人笑话都来源于此。,Eine ausgezeichnete Quelle für Kalium und dreckigen Humor.,Uma excelente fonte de potássio e piadinhas sujas.,Une excellente source de potassium et d'humour coquin.,Незаменимый источник калия. И скабрезных шуточек.,포타슘과 거친 유머의 탁월한 원천.
Beer,Eases your pain in more ways than one.,,Alivia el dolor de varias maneras.,何以解忧，唯有啤酒。,Lindert deine Schmerzen in mehr als einer Hinsicht.,Alivia sua dor de várias maneiras.,Allège la douleur de bien des manières.,Облегчает жизнь. Комплексно.,여러 가지 방법으로 고통을 완화하세요.
FirstAidKit,Some sort of crazy magical video game first aid kit that can heal your wounds in a split second.,,Una especie de botiquín de primeros auxilios de videojuegos mágico que sana tus heridas en una fracción de segundo.,极其神奇的电子游戏急救包，可以瞬间治愈你的伤口。,"Irgendein verrückter zauberhafter Videospiel-Erstehilfekasten, der deine Wunden im Bruchteil einer Sekunde heilen lässt.",Um tipo de kit de primeiros socorros mágico de vídeo game capaz de curar seus ferimentos em uma fração de segundos.,Une sorte de trousse de soin magique qu'on ne trouve que dans les jeux vidéos et qui soigne vos blessures en une fraction de seconde.,"Какая-то фантастическая аптечка, которая лечит любые раны за доли секунды. Прямо как в компьютерных играх.",순식간에 상처를 치료할 수 있는 일종의 미친 마법의 비디오 게임 구급함.
HamSandwich,"C'mon, go ham sammich!  Your booty will resemble two planets!",,¡Vamos por el sándwich de jamón!¡Tu trasero se verá como dos planetas!,来，多吃点火腿三明治！你的屁股能装下两颗星球！,"Komm schon, los Schinkensandwich! Dein Hintern wird aussehen wie zwei Planeten!","Vamos lá, bota para quebrar! Seu traseiro ficará parecido com dois planetas!",J'aime quand y'a du pain. J'aime quand y'a du jambon. J'aime quand y'a du piment d'Espelette. J'aime le piment d'Espelette !,"Давай, съешь еще и сендвич с беконом! И твоя задница точно будет размером с луну! С две луны!","햄 샌드위치야, 어서! 네 엉덩이는 두 행성과 닮게 될 거야!"
Whiskey,Makes everything more tolerable!,,¡Lo hace todo más llevadero!,让你捱过生活的苦难！,Macht alles erträglicher!,Torna tudo mais tolerável!,Rend tout bien plus supportable !,С ним ты смотришь на жизнь проще!,모든 것을 더 견딜 만하게 만듭니다!
Cigarettes,"They make you look cool.  C'mon, have one!  All the other kids are doing it!",,"Te hacen ver muy bien. ¡ Vamos, toma uno! ¡Todos los niños lo están haciendo!",嘴上叼根烟卷多酷。给，来一根！其他孩子也都开始抽烟了！,"Damit siehst du cool aus. Los, nimm eine! Die anderen machen es doch auch alle!","Você vai arrasar. Vamos lá, experimente um! Todo mundo está fazendo isso!","Ça rend cool. Allez, prenez-en une ! Tout le monde le fait !","Сигареты — признак крутизны. Давай, попробуй! Смотри, все вокруг курят!","잘 어울리는 데요. 어서, 하나 하세요! 모두가 이것을 하고 있어요!"
Cocaine,"Speeds you up. Which is ironic, considering it also makes you fat. (Though not in this game.)",,"Te acelera. Lo cual es bastante irónico, considerando que también engorda. (Aunque no en este juego.)",可以提高你的速度。讽刺的是，它也会让你变胖。（虽然在这个游戏中并不是这样）,"Macht dich schneller. Was ironisch ist, wenn man bedenkt, dass er dich auch fett macht. (Allerdings nicht in diesem Spiel.)","Deixa você acelerado. O que é irônico, considerando que também deixa você gordo. (Apesar de não estar neste jogo.)","Vous accélère. Ce qui est ironique, vu que ça vous fait aussi grossir. (Mais pas dans ce jeu).","С ним ты быстрее. Что забавно, ведь ты становишься и толще тоже. (Но не в игре.)",아이러니하게도 속도가 빠르고 당신을 살찌게 만듭니다.(이 게임에는 없지만).
Flask,,,,,,,,,
Steroids,"Want to get buff? Or rather, get A buff? The answer is Muscly Pills. Makes your melee attacks temporarily stronger.",,"¿Quieres potenciar tus músculos o, mejor dicho, obtener un potenciador? La respuesta son los esteroides. Hace que tus ataques cuerpo a cuerpo sean temporalmente más fuertes.",想要获得增益效果吗？更精确地说，想获得加成吗？答案是大力丸。让你的近战攻击临时变强吧。,Du willst stärker werden? Oder eher EINE Stärke haben? Die Antwort sind Muskelpillen. Sie lassen deine Nahkampfangriffe vorübergehend stärker werden.,"Quer ganhar força? Ou melhor, ganhar A força? A resposta está na Bomba. Torne seu ataque físico temporariamente mais forte.","Il paraît que c'est juste pour la gonflette. En attendant, vos attaques au corps-à-corps sont temporairement plus puissantes.",Хочешь накачаться? Ответ прост — таблетки силы. Атаки в ближнем бою на время становятся мощнее.,버프를 원하세요? 아니면 버프를 추가할까요? 근육 강화제가 답이죠. 근접 공격을 일시적으로 강하게 만듭니다.
Syringe,Who knows what effect this mysterious liquid will have on your body?,,¿Quién sabe qué efecto tendrá este líquido misterioso en tu cuerpo?,谁知道这种神秘的液体会对你的身体产生什么效果呢？,"Wer weiß, welche Auswirkungen diese geheimnisvolle Flüssigkeit auf deinen Körper haben wird?",Quem sabe o efeito que esse líquido misterioso terá em seu corpo?,Qui sait ce que ce mystérieux liquide peut faire à votre corps ?,"Кто знает, какой эффект окажет эта странная жидкость...",이 미스터리한 액체가 몸에 어떤 영향을 주는지 누가 알겠어요.
BalletShoes,Probably going to be removed from the game!,,¡Probablemente va a ser eliminado del juego!,可能会从游戏中移除！,Werden wahrscheinlich aus dem Spiel entfernt!,Provavelmente será removido do jogo!,Ça va sûrement être retiré du jeu !,"Скорее всего, придется убрать их из игры!",아마 게임에서 제거될 거예요!
BraceletStrength,"Probably belongs in a much more medieval fantasy-oriented game, but who cares?  Increases your Melee strength.",,"Probablemente corresponde a un juego de fantasía mucho más medieval, pero ¿a quién le importa? Aumenta tu fuerza de combate cuerpo a cuerpo.",可能更适合中世纪奇幻游戏，但谁在乎呢？提高你的近战攻击力。,"Gehört wahrscheinlich in ein viel mittelalterlicheres Fantasyspiel, aber wen interessiert das? Erhöht deine Nahkampfstärke.","Provavelmente pertence a um jogo muito mais direcionado para fantasia medieval, mas quem liga para isso? Aumenta a sua força de ataque físico.","Ça aurait plus sa place dans un jeu plus orienté fantaisie, mais après tout... augmente votre force au corps-à-corps.","Наверное, этому предмету место в средневековой фэнтезийной игре... Ну и плевать. Повышает силу атак в ближнем бою.",아마도 훨씬 더 중세 판타지 분위기의 게임에 돌입하겠지만 그게 중요한가요? 근접 공격 강도를 높이세요.
BulletproofVest,Reduces bullet damage while it lasts.  Also makes you look toootally bloated.,,Reduce el daño de la bala durante su efecto. También te hace ver completamente hinchado.,在被打坏前降低子弹伤害，不过也会让你看起来特别臃肿。,"Verringert Schäden durch Kugeln, solange sie hält. Lässt dich außerdem tooooooootal aufgedunsen aussehen.",Reduz os danos por balas enquanto seu efeito durar. Também te dá um visual completamente inchado.,Réduit les dégâts par balle pendant toute la durée et vous donner une allure de Bibendum.,"Снижает урон от пуль, пока цел. А еще ты выглядишь в нем так, будто тебя окончательно расперло.",이것이 지속되는 동안 총알 데미지를 줄이고 완전히 부풀게 만듭니다.
CodPiece,"Word up, this will protect your junk.",,"Tienes razón, esto protegerá tus partes íntimas.",没错，保护你的小弟弟。,Das schützt natürlich dein bestes Stück.,"Isso mesmo, protege teu pacote.",Un objet vital : il protège vos bijoux de famille.,"Говорят, эта штука защищает самое ценное.",물론 이것이 정크를 보호합니다.
FireproofSuit,"Protects you from burns, but leaves you vulnerable to sideburns, so watch out!",,"Te protege de las quemaduras, pero te deja vulnerable a las patillas, ¡así que ten cuidado!",保护你免受烧伤，但你的连鬓胡子可能会疯长，当心了！,"Schützt dich vor Verbrennungen, aber du bleibst anfällig für Koteletten, also pass auf!","Te protege contra queimaduras, mas te deixa vulnerável a costeletas de queimar qualquer filme, então cuidado!","Protège des brûlures mais pas des aigreurs, donc attention !","Защищает от ожогов, но не скрывает бакенбарды!","화상을 입지 않도록 보호하지만, 구레나룻은 위험할 수 있습니다. 조심하세요!"
GasMask,Protects your nose and face from noxious gases. Useful on car trips with your Uncle Denny.,,Protege tu nariz y tu rostro de gases nocivos. Útil en los viajes en coche con tu tío Denny.,保护你的鼻子和脸部免遭毒气伤害。和丹尼叔叔开车旅行时非常有用。,Schützt deine Nase und dein Gesicht vor giftigen Gasen. Ist nützlich bei Autofahrten mit deinem Onkel Denny.,Protege seu nariz e face contra gases nocivos. Útil nas viagens de carro com seu Tio Denny.,Protège le nez et le visage des gaz toxiques. Très pratique en voiture après un bon cassoulet entre amis.,Защищает нос и лицо от опасных газов. Полезен в дальних поездках с дядюшкой Денни.,유해 가스로부터 코와 얼굴을 보호합니다. 데니 삼촌과의 자동차 여행에 유용합니다.
MoodRing,"Useless!  Don't tell me when I'm angry, I already know, dammit!",,"¡Inútil! ¡No me digas cuando estoy enojado! Ya lo sé, ¡maldita sea!",毫无用处！我生气的时候自己知道，该死！,"Nutzlos! Sag mir nicht, wenn ich wütend bin. Das weiß ich doch schon, verdammt nochmal!","Inútil! Não venha me dizer que eu estou com raiva, eu já sei, droga!","Ça sert à rien ! Et pas la peine de me dire que je suis furax, je suis déjà au courant, bon sang !","Бесполезная хреновина! Я и так знаю, когда злюсь, черт возьми!","쓸모 없어! 내가 화가 났다고 말하지 말아. 알고 있으니까, 젠장!"
Note,,,,,,,,,
Newspaper,,,,,,,,,
Map,,,,,,,,,
BananaPeel,"Send your opponents on a ""trip"" to ground town.",,"Envía a tus oponentes de ""tropiezo"" al suelo.",让你的对手和地面亲密接触。,Schickt deine Gegner auf eine „Reise“ in Richtung Boden.,Envie seus oponentes daqui para o além.,Envoyez vos adversaires se bananer en beauté.,Отправляет врагов в объятья бессердечной гравитации.,여행 중인 상대방을 그라운드 타운으로 보내세요.
Rag,,,,,,,,,
Rock,"The all-purpose handy-dandy rock.  Seriously, you'd be surprised how many uses this has.",,"La roca multipropósito súper práctica. En serio, te sorprendería cuántos usos tiene esto.",全能的石块。老实说，它的用途多得能把你吓一跳。,"Der berühmt berüchtigte Multifunktionsstein. Ehrlich, du wirst dich wundern, was man damit alles machen kann.","A pedra mil e uma utilidades. Sério, você vai se surpreender com o número de coisas que dá para se fazer com ela.","Un bon vieux caillou multi-usage. Nan, sérieusement, vous n'imaginez pas tout ce qu'on peut faire avec.","Универсальный многоцелевой камушек. Серьезно, им можно сделать тысячу вещей.",다목적의 편리한 바위. 얼마나 용도가 다양한지 알면 정말 놀랄 거예요.
CigaretteLighter,Create fire in your hand.  Probably would have gotten you burned at the stake in the middle ages.,,Crea fuego en tu mano. En el medioevo por mucho menos que esto te hubieran echado a la hoguera.,让你的手中生火。要是在中世纪，你很可能会被绑在火刑柱上烧死。,Lasse in deiner Hand Feuer entstehen. Dafür wärst du im Mittelalter wahrscheinlich auf dem Scheiterhaufen gelandet.,Cria fogo em suas mãos. Provavelmente teria levado você à fogueira na idade média.,Le pouvoir du feu entre vos mains. Des roux ont fini sur le bûcher pour moins que ça.,Пламя одним движением руки. В средние века тебя бы тут же сожгли на костре.,손에서 불을 만듭니다. 아마도 중세에는 당신을 화형에 처했을 겁니다.
Crowbar,"Can be used as a weapon, but it can also unlock certain things at a durability cost.",,"Se puede usar como arma, pero también puede desbloquear ciertas cosas, lo que tendrá un costo de durabilidad.",可以用作武器，但也用来解锁特定物品，只是这样会消耗它的耐久度。,"Kann als Waffe genutzt werden, kann aber auch bestimmte Dinge auf Kosten der Haltbarkeit aufsperren.","Pode ser usada como arma, mas também pode desbloquear certas coisas, o que custará durabilidade.","Peut servir d'arme, et à ouvrir des trucs en échange de durabilité.","Можно использовать в качестве оружия, но можно и открывать всякие разные вещи. Имеет ограниченный запас прочности.","무기로 사용할 수 있지만, 내구성 비용으로 일부를 잠금 해제할 수도 있습니다."
OilContainer,Works best when combined with a cigarette lighter.  Can be refilled at Ammo Dispenser.  Should not be ingested by children under 5.,,Funciona mejor si se combina con un encendedor. Se puede recargar en un Dispensador de munición. No debe ser ingerido por niños menores de 5.,与点烟器配合使用时效果最佳。可以在弹药盒重新注满。应防止5岁以下儿童摄入。,Funktioniert am besten mit einem Zigarettenanzünder. Kann am Munitionsspender aufgefüllt werden. Kinder unter 5 Jahren sollten dies nicht zu sich nehmen.,Funciona melhor quando combinado a um isqueiro. Pode ser abastecido no Reservatório de Munição. Não deve ser ingerido por crianças menores de 5 anos.,Fonctionne mieux en combinaison avec un briquet. Peut être rempli à un Distributeur de munitions. Ne doit pas être ingéré par les enfants de moins de 5 ans.,Лучше всего работает в связке с зажигалкой. Можно заправить в раздатчике боеприпасов. Детям до пяти лет не вдыхать.,담배 라이터와 함께할 때 가장 잘 작동합니다. 탄약 분배기에서 충전할 수 있습니다. 5세 미만의 어린이는 섭취하면 안 됩니다.
GrapplingHook,,,,,,,,,
HackingTool,Single-use device that will hack into any computer remotely.,,Dispositivo de un único uso para hackear cualquier ordenador remotamente.,用途单一的设备，可以远程入侵任何一台电脑。,"Gerät mit einem einzigen Zweck, das sich aus der Ferne in jeden Computer einhacken kann.",Disposítivo de uso único que invadirá qualquer computador remotamente.,Un appareil à usage unique qui vous permettra de pirater un ordinateur à distance.,"Одноразовый гаджет, который дистанционно взламывает любой компьютер.",원격으로 컴퓨터를 해킹하는 단일 사용 장치.
ItemTeleporter,Gives you just about any item your little heart desires.,,Te trae prácticamente cualquier artículo que puedas desear.,让你获得任何想要的道具。,"Gibt dir so ungefähr alles, was dein kleines Herz sich wünscht.",Garante a você praticamente qualquer item que seu coraçãozinho desejar.,Vous donne n'importe quel objet que votre petit cœur désire.,"Может дать тебе любую вещь, которую ты только пожелаешь. Почти.",간절히 소망하는 아이템을 드립니다.
Jackhammer,,,,,,,,,
Key,Unlocks a single door in the location where you retrieved it.,,Desbloquea una única puerta en la ubicación donde la encontraste.,打开钥匙所在地点的一扇门。,"Schließt an dem Ort, an dem du ihn erhalten hast, eine einzige Tür auf.",Desbloqueia uma única porta no local onde foi obtido.,Déverrouille une porte de la zone où vous l'avez trouvée.,"Открывает одну дверь в той же локации, где ты ее находишь.",이것을 확보한 위치에서 싱글 도어를 잠금 해제합니다.
KeyCard,,,,,,,,,
Laptop,Remotely hack any computer like the l337 h4x0r you are. You can move while hacking to avoid detection. 50% chance of causing an alarm.,,Hackea remotamente cualquier ordenador como el l337 h4x0r que eres. Puedes moverte mientras hackeas para evitar ser detectado. 50% de chance de disparar una alarma.,像 l337 h4x0r 那样远程入侵任何电脑。你可以在入侵时移动，以防被抓。有 50% 几率触发警报。,"Hack dich aus der Ferne in jeden Computer ein wie der l337 h4x0r, der du bist. Beim Hacken kannst du dich bewegen, damit du nicht entdeckt wirst. Die Wahrscheinlichkeit dafür, dass ein Alarm ausgelöst wird, liegt bei 50 %.",Invade remotamente qualquer computador como o I337 h4x0r que você está. Você pode se mover enquanto realiza a invasão para evitar detecção. 50% de chance de ativar um alarme.,"Piratez à distance n'importe quel ordinateur, parce que vous êtes un l337 p1r4t3. Vous pouvez vous déplacer pendant un piratage pour éviter de vous faire détecter. 50% de chances de déclencher une alarme.","Позволяет дистанционно взламывать компьютеры. Как будто ты хакер. Чтобы во время взлома не словили, можно перемещаться. Шанс вызвать тревогу — 50%.",l337 h4x0r과 같은 모든 컴퓨터를 원격 해킹하세요. 해킹하는 동안 위치 추적을 피하기 위해 이동할 수 있어요.
Lockpick,Pick any lock.  Just don't expect the owner of said lock to appreciate it.,,Fuerza cualquier cerradura. Aunque no creas que al dueño de la cerradura le caerá en gracia.,撬开任何锁。锁匠特别讨厌这玩意。,"Knacke jedes Schloss. Erwarte aber nicht, dass der Besitzer des besagten Schlosses besonders glücklich darüber sein wird.",Arromba qualquer fechadura. Só não vá esperar que o dono da fechadura goste.,Crochète une serrure. Mais n'attendez aucun remerciement de la part de son propriétaire.,"Ей можно вскрыть любой замок. Только не думай, что хозяева будут смотреть на это сквозь пальцы.",자물쇠를 주워요. 자물쇠 소유자가 감사하게 여길 거라 기대하지 마세요.
MagicLamp,"Give it a rub, you know you want to!",,Dale una frotada. Sabes que no te puedes resistir.,擦一擦，会有意外惊喜！,"Reib daran, du weißt doch, dass du es willst!","Dê uma esfregadinha, eu sei que você quer!",Frottez. Frotteeeeez ! Vous en avez envie !,"Ну же, потри ее! Ты же хочешь!","문지르세요, 무슨 말인지 알잖아요."
Matches,,,,,,,,,
MindReaderDevice,,,,,,,,,
MiniFridge,"Keeps your food nice and fresh, giving you a health bonus on food that you eat as long as this is in your inventory.",,"Matiene tu comida fresca y sabrosa y, mientras lo tengas en tu inventario, te otorga una bonificación de salud en la comida que comes.",让食物保持美味新鲜，只要它在你的物品栏里，你就能在吃掉食物时获得生命值加成。,"Hält dein Essen schön frisch und bringt dir einen Gesundheitsbonus bei Nahrung, die du zu dir nimmst, solange dieser Gegenstand in deinem Inventar ist.","Mantém sua comida bem fresquinha, lhe garantindo um bônus de energia nos alimentos que você consumir, contanto que ele esteja em seu inventário.","Garde votre nourriture au frais, ce qui accorde un bonus de santé à ce que vous mangez tant que vous avez ça dans votre inventaire.","Сохраняет еду свежей. Если он в твоем инвентаре, ты получаешь больше здоровья, когда съедаешь любую еду.",음식을 신선하게 유지하며 인벤토리에 있는 음식에 대해 헬스 보너스를 부여합니다.
RemoteControl,,,,,,,,,
Rope,,,,,,,,,
SafeCombination,Unlocks a single safe in the location where you retrieved it.  Why the owner carried this in their pocket is beyond me.,,Desbloquea una única caja fuerte en la ubicación donde la encontraste. Es inexplicable por qué el propietario llevaría esto en su bolsillo.,找到密码便能打开保险箱。我想不通保险箱的主人为什么要把它装在口袋里。,"Öffnet einen einzigen Tresor an dem Ort, an dem du sie erhalten hast. Warum der Besitzer sie in seiner Tasche hatte, ist mir ein absolutes Rätsel.",Desbloqueia um único cofre no local onde foi obtido. Eu não faço a mínima ideia de porque o dono estava levando isso no bolso.,Déverrouille un coffre unique dans la zone où vous l'avez trouvée. Comment peut-on se promener avec la combinaison de son coffre dans sa propre poche ?,"Открывает один сейф в той же локации, где ты ее находишь. Кем надо быть, чтобы таскать комбинацию от сейфа в кармане — выше моего понимания.",금고를 가져온 위치에서 이 금고를 잠금 해제합니다. 주머니에 이를 넣은 소유자가 내 능력 밖인 이유가 뭔가요?
SafeCrackingTool,Infinite-use tool that unlocks any safe.,,Herramienta de uso infinito para abrir cualquier caja fuerte.,可以无限使用的工具，能打开任何保险箱。,"Werkzeug, das jeden Tresor öffnen kann und bis in die Unendlichkeit verwendbar ist.",Ferramenta de uso infinito que desbloqueia qualquer cofre.,Un outil à usage illimité qui permet de déverrouiller n'importe quel coffre.,"Инструмент, который открывает любой сейф. Работает вечно.",모든 금고를 잠금 해제하는 무한 사용 도구.
Saw,,,,,,,,,
Shovel,"Hit people, dig up graves, and participate in all sorts of other not-at-all unsavory activities.",,"Golpea a gente, cava tumbas, y participa de todo tipo de otras actividades para nada desagradables.",打架，挖掘坟墓，还能干其他一点都不让人讨厌的活。,"Schlag Leute, grabe Gräber und mach bei allen möglichen anderen gar nicht geschmacklosen Aktivitäten mit.","Ataque pessoas, cave sepulturas e participe de todo tipo de outras atividades nem um pouco desagradável.","Sert à frapper des gens, à creuser des tombes, et à tout un tas de choses plus ou moins légales. Attention : celle-là ne se roule pas.","Бить людей, копать могилы... и целый ряд других более или менее сомнительных занятий.","사람들을 공격하고, 무덤을 파고... 다양한 종류의 즐겁지 않은 활동에 참여하세요."
Teleporter,"Teleports you to a random location, getting you out of a jam and potentially into a new one.",,"Te teletransporta a una ubicación aleatoria, sacándote de un problema y potencialmente metiéndote en otro.",将你传送到一个随机位置，能帮你摆脱困境，但也可能让你陷入新的困境。,"Teleportiert dich an einen zufälligen Ort, hilft dir aus einer Patsche und möglicherweise in eine neue hinein.","Teleporta você para um local aleatório, tirando você de um aperto e, potencialmente, colocando em outro.",Vous téléporte dans un lieu aléatoire. Un bon moyen de se sortir d'une galère pour se jeter dans une autre.,"Перемещает тебя в случайную локацию, спасая тебя из одной заварушки... или забрасывая прямиком в другую.",임의의 장소로 텔레포트하여 복잡한 상황을 벗어나 새로운 장소로 이동합니다.
Translator,"Translates Gorilla/Alien/Beast/Whatever speak into any language, except for one: The language of love.",,"Traduce el idioma gorila a cualquier idioma, excepto a uno: el lenguaje del amor.",将大猩猩的话翻译成任何语言，但有一种除外：爱的语言。,"Übersetzt Gorillasprache in eine beliebige andere Sprache, mit einer Ausnahme: die Sprache der Liebe.","Traduz a fala do Gorila em qualquer idioma, exceto um: A linguagem do amor.","Traduit la langue des gorilles en n'importe quelle autre, sauf une : la langue de l'amour.",Переводит с языка Гориллы на любой человеческий язык... кроме языка любви.,고릴라의 말을 다른 언어로 번역합니다. 사랑의 언어는 제외하고.
VisionDetector,,,,,,,,,
VoodooDoll,Turns one hapless victim into your puppet.,,Convierte a una víctima desgraciada en tu mascota.,将一个倒霉的受害者变成你的傀儡。,Verwandelt ein unglückseliges Opfer in deine Marionette.,Transforma uma vítima azarada em um fantoche.,Transforme une malheureuse victime en votre marionnette.,Превращает незадачливую жертву в твою марионетку.,불행한 희생양 하나를 꼭두각시로 만듭니다.
