STRING_ID,English,Translation,Spanish,Chinese,German,Brazilian,French,Russian,Korean
TYPE,string,string,string,string,string,string,string,string,string
Athlete_CantUseTech,"No way, that's for nerds!",,"De ninguna forma, ¡eso es para nerds!",没门，那是留给书呆子的！,"Keine Chance, das ist für Nerds!","Nem pensar, isso é para nerds!","Aucune chance, c'est pour les nerds !","Ну не, это для ботаников!","말도 안 돼, 그건 바보 같은 짓이죠!"
Bouncer_Interact_1,None shall pass!... without cash.  Then you can pass.,,¡Nadie pasará!... sin efectivo. Entonces sí pasarás.,没有钱，谁也别想过去！哦，那你过去吧。,Hier kommt niemand durch! ... Ohne Bargeld. Mit Geld kannst du durch.,"Ninguém pode passar!... sem dinheiro. Nesse caso, você pode passar.","Vous ne passerez pas !... enfin, pas sans payer. Alors vous pourrez passer.",Ты не пройдешь!.. Если не заплатишь. Тогда пройдешь.,현금 없이는 아무도 통과 못해요!... 그런 다음 통과할 수 있지요.
Bouncer_Interact_2,Where ya think you're going?,,¿A dónde crees que vas?,你下面想去哪？,"Was glaubst denn du, wo du hingehst?",Onde você pensa que está indo?,Tu vas où comme ça ?,Куда прешь?,어디에 갈 생각이죠?
Bouncer_Interact_3,You got any booze?  I'm bored.,,¿Tienes alcohol? Estoy aburrido.,有酒吗？好无聊。,Hast du was zu saufen? Mir ist langweilig.,Você tem alguma bebida? Estou entediado.,Vous avez une binouze ? J'm'ennuie.,Выпивка есть? Скучно что-то.,술 마셨어요? 지루해요.
Bouncer_Interact_4,This job is nowhere near as mentally stimulating as it looks.,,No creas que este trabajo es tan estimulante intelectualmente como parece.,这份工作根本不像大家认为的那么刺激。,Dieser Job ist bei Weitem nicht so geistig anregend wie er aussieht.,Este trabalho está longe de ser tão mentalmente estimulante quanto parece.,Ce boulot n'est pas aussi stimulant intellectuellement qu'il en a l'air.,"Эта работа еще тупее, чем кажется.",이 일은 보이는 대로 정신적인 자극과는 거리가 멉니다.
Bouncer_Interact_5,Do you like my suit?  It's plum!,,¿Te gusta mi traje? ¡Es color ciruela!,喜欢我的西装吗？是紫红色的喔！,Gefällt dir mein Anzug? Das ist Pflaume!,Gostou do meu terno? É ameixa!,Vous aimez mon costard ? Il claque !,Нравится мой костюм? Это сливовый цвет!,제 옷이 맘에 드나요? 자두예요!
Bouncer_InteractB_1,Where ya think you're going?,,¿A dónde crees que vas?,你下面想去哪？,"Was glaubst denn du, wo du hingehst?",Onde você pensa que está indo?,Tu vas où comme ça ?,Куда прешь?,어디에 갈 생각이죠?
Bouncer_InteractB_2,This job is nowhere near as mentally stimulating as it looks.,,No creas que este trabajo es tan estimulante intelectualmente como parece.,这份工作根本不像大家认为的那么刺激。,Dieser Job ist bei Weitem nicht so geistig anregend wie er aussieht.,Este trabalho está longe de ser tão mentalmente estimulante quanto parece.,Ce boulot n'est pas aussi stimulant intellectuellement qu'il en a l'air.,"Эта работа еще тупее, чем кажется.",이 일은 보이는 대로 정신적인 자극과는 거리가 멉니다.
Bouncer_InteractB_3,Do you like my suit?  It's plum!,,¿Te gusta mi traje? ¡Es color ciruela!,喜欢我的西装吗？是紫红色的喔！,Gefällt dir mein Anzug? Das ist Pflaume!,Gostou do meu terno? É ameixa!,Vous aimez mon costard ? Il claque !,Нравится мой костюм? Это сливовый цвет!,제 옷이 맘에 드나요? 자두예요!
